Orthogroup	GCA_000149555.1_ASM14955v1_protein	GCA_000149955.2_ASM14995v2_protein	GCA_000240135.3_ASM24013v3_protein	GCA_000260195.2_FO_II5_V1_protein	GCA_000303195.2_FP7_protein	GCA_001292635.1_ASM129263v1_protein	GCA_001675295.1_FPOA1.0_protein	GCA_003012285.1_Fusarium_longipes_NRRL20695_FLONG3_contigs_protein	GCA_003012315.1_Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs_protein	GCA_003316985.1_ASM331698v1_protein	GCA_003615215.1_Fp_A8_v1_protein	GCA_003698175.1_Fus_sp_AF-12_v1.0_protein	GCA_003946985.1_NRRL62584.SPAdes_protein	GCA_003946995.1_NRRL62579.SPAdes_protein	GCA_003947005.1_NRRL62606.SPAdes_protein	GCA_003947015.1_NRRL62590.SPAdes_protein	GCA_003947045.1_NRRL20438v1_protein	GCA_900007375.1_ASM90000737v1_protein	GCA_900044065.1_Genome_assembly_version_1_protein	GCA_900067095.1_F._proliferatum_ET1_version_1_protein	GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2_protein	Ilysp1_GeneCatalog_proteins_20121116	fusotu1_abyss50_rnd3.all.maker.proteins	fusotu3_abyss50_rnd3.all.maker.proteins	fusotu5_abyss50_rnd3.all.maker.proteins	fusotu6_abyss50_rnd3.all.maker.proteins	fusotu7_abyss50_rnd3.all.maker.proteins
OG0023473	GCA_000149555.1_ASM14955v1_protein.faa_EWG35780.1																										
OG0023474	GCA_000149555.1_ASM14955v1_protein.faa_EWG35782.1																										
OG0023475	GCA_000149555.1_ASM14955v1_protein.faa_EWG35814.1																										
OG0023476	GCA_000149555.1_ASM14955v1_protein.faa_EWG35824.1																										
OG0023477	GCA_000149555.1_ASM14955v1_protein.faa_EWG35861.1																										
OG0023478	GCA_000149555.1_ASM14955v1_protein.faa_EWG35952.1																										
OG0023479	GCA_000149555.1_ASM14955v1_protein.faa_EWG35998.1																										
OG0023480	GCA_000149555.1_ASM14955v1_protein.faa_EWG36025.1																										
OG0023481	GCA_000149555.1_ASM14955v1_protein.faa_EWG36027.1																										
OG0023482	GCA_000149555.1_ASM14955v1_protein.faa_EWG36031.1																										
OG0023483	GCA_000149555.1_ASM14955v1_protein.faa_EWG36044.1																										
OG0023484	GCA_000149555.1_ASM14955v1_protein.faa_EWG36048.1																										
OG0023485	GCA_000149555.1_ASM14955v1_protein.faa_EWG36111.1																										
OG0023486	GCA_000149555.1_ASM14955v1_protein.faa_EWG36114.1																										
OG0023487	GCA_000149555.1_ASM14955v1_protein.faa_EWG36131.1																										
OG0023488	GCA_000149555.1_ASM14955v1_protein.faa_EWG36166.1																										
OG0023489	GCA_000149555.1_ASM14955v1_protein.faa_EWG36202.1																										
OG0023490	GCA_000149555.1_ASM14955v1_protein.faa_EWG36214.1																										
OG0023491	GCA_000149555.1_ASM14955v1_protein.faa_EWG36272.1																										
OG0023492	GCA_000149555.1_ASM14955v1_protein.faa_EWG36273.1																										
OG0023493	GCA_000149555.1_ASM14955v1_protein.faa_EWG36292.1																										
OG0023494	GCA_000149555.1_ASM14955v1_protein.faa_EWG36337.1																										
OG0023495	GCA_000149555.1_ASM14955v1_protein.faa_EWG36399.1																										
OG0023496	GCA_000149555.1_ASM14955v1_protein.faa_EWG36469.1																										
OG0023497	GCA_000149555.1_ASM14955v1_protein.faa_EWG36470.1																										
OG0023498	GCA_000149555.1_ASM14955v1_protein.faa_EWG36471.1																										
OG0023499	GCA_000149555.1_ASM14955v1_protein.faa_EWG36476.1																										
OG0023500	GCA_000149555.1_ASM14955v1_protein.faa_EWG36477.1																										
OG0023501	GCA_000149555.1_ASM14955v1_protein.faa_EWG36481.1																										
OG0023502	GCA_000149555.1_ASM14955v1_protein.faa_EWG36503.1																										
OG0023503	GCA_000149555.1_ASM14955v1_protein.faa_EWG36504.1																										
OG0023504	GCA_000149555.1_ASM14955v1_protein.faa_EWG36648.1																										
OG0023505	GCA_000149555.1_ASM14955v1_protein.faa_EWG36661.1																										
OG0023506	GCA_000149555.1_ASM14955v1_protein.faa_EWG36662.1																										
OG0023507	GCA_000149555.1_ASM14955v1_protein.faa_EWG36664.1																										
OG0023508	GCA_000149555.1_ASM14955v1_protein.faa_EWG36682.1																										
OG0023509	GCA_000149555.1_ASM14955v1_protein.faa_EWG36685.1																										
OG0023510	GCA_000149555.1_ASM14955v1_protein.faa_EWG36686.1																										
OG0023511	GCA_000149555.1_ASM14955v1_protein.faa_EWG36687.1																										
OG0023512	GCA_000149555.1_ASM14955v1_protein.faa_EWG36688.1																										
OG0023513	GCA_000149555.1_ASM14955v1_protein.faa_EWG36689.1																										
OG0023514	GCA_000149555.1_ASM14955v1_protein.faa_EWG36753.1																										
OG0023515	GCA_000149555.1_ASM14955v1_protein.faa_EWG36754.1																										
OG0023516	GCA_000149555.1_ASM14955v1_protein.faa_EWG36755.1																										
OG0023517	GCA_000149555.1_ASM14955v1_protein.faa_EWG36757.1																										
OG0023518	GCA_000149555.1_ASM14955v1_protein.faa_EWG36808.1																										
OG0023519	GCA_000149555.1_ASM14955v1_protein.faa_EWG36847.1																										
OG0023520	GCA_000149555.1_ASM14955v1_protein.faa_EWG36920.1																										
OG0023521	GCA_000149555.1_ASM14955v1_protein.faa_EWG36955.1																										
OG0023522	GCA_000149555.1_ASM14955v1_protein.faa_EWG36963.1																										
OG0023523	GCA_000149555.1_ASM14955v1_protein.faa_EWG36964.1																										
OG0023524	GCA_000149555.1_ASM14955v1_protein.faa_EWG37001.1																										
OG0023525	GCA_000149555.1_ASM14955v1_protein.faa_EWG37101.1																										
OG0023526	GCA_000149555.1_ASM14955v1_protein.faa_EWG37116.1																										
OG0023527	GCA_000149555.1_ASM14955v1_protein.faa_EWG37119.1																										
OG0023528	GCA_000149555.1_ASM14955v1_protein.faa_EWG37241.1																										
OG0023529	GCA_000149555.1_ASM14955v1_protein.faa_EWG37258.1																										
OG0023530	GCA_000149555.1_ASM14955v1_protein.faa_EWG37263.1																										
OG0023531	GCA_000149555.1_ASM14955v1_protein.faa_EWG37327.1																										
OG0023532	GCA_000149555.1_ASM14955v1_protein.faa_EWG37338.1																										
OG0023533	GCA_000149555.1_ASM14955v1_protein.faa_EWG37403.1																										
OG0023534	GCA_000149555.1_ASM14955v1_protein.faa_EWG37435.1																										
OG0023535	GCA_000149555.1_ASM14955v1_protein.faa_EWG37491.1																										
OG0023536	GCA_000149555.1_ASM14955v1_protein.faa_EWG37511.1																										
